Gene name,Common canary gene name,Common carp gene name,Common wall lizard gene name,Common wombat gene name,Coquerel's sifaka gene name
PPIAL4D,,ppifa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiab,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiab,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiab,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiaa,,,
PPIAL4D,,ppiab,,,
PPIAL4D,,ppifa,,,
PPIAL4D,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiaa,,,
PPIAL4E,,ppiab,,,
PPIAL4E,,ppifa,,,
PPIAL4E,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiaa,,,
PPIAL4F,,ppiab,,,
PPIAL4F,,ppifa,,,
PPIAL4F,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiaa,,,
PPIAL4G,,ppiab,,,
PPIAL4G,,ppifa,,,
PPIAL4G,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiaa,,,
PPIAL4H,,ppiab,,,
PPIAL4H,,ppifa,,,
PPIAL4H,,ppifa,,,
NCOR1P2,,,,,
,,,,,
FTLP13,,,,,
,,,,,
DND1P1,,,,,
,,,,,
RPS26P8,,,,,
CSDE1,CSDE1,csde1,CSDE1,CSDE1,CSDE1
CSDE1,CSDE1,si:dkeyp-121d4.3,CSDE1,CSDE1,CSDE1
CSDE1,CSDE1,si:dkeyp-121d4.3,CSDE1,CSDE1,CSDE1
CSDE1,CSDE1,csde1,CSDE1,CSDE1,CSDE1
,,,,,
ZNF34,,,,,
FTLP12,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ZNF528-AS1,,,,,
NOS2P4,,,,,
KRTAP9-12P,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MADCAM1-AS1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
YWHAEP3,,,,,
KRT16P5,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
COTL1P2,,,,,
ZNF571-AS1,,,,,
LRRC37A9P,,,,,
RPL29P31,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GPR39,GPR39,,GPR39,,GPR39
GPR39,GPR39,,GPR39,,GPR39
RN7SKP103,,,,,
SLC35F6,,slc35f6,SLC35F6,SLC35F6,SLC35F6
SLC35F6,,slc35f6,SLC35F6,SLC35F6,SLC35F6
CENPA,,,,CENPA,CENPA
CENPA,,,,CENPA,CENPA
MSANTD3P1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CTR9,CTR9,ctr9,CTR9,CTR9,CTR9
CTR9,CTR9,ctr9,CTR9,CTR9,CTR9
,,,,,
,,,,,
MAP4K1-AS1,,,,,
,,,,,
CALB1,CALB1,calb1,CALB1,CALB1,CALB1
CALB1,CALB1,calb1,CALB1,CALB1,CALB1
,,,,,
KYNUP1,,,,,
,,,,,
,,,,,
WASH5P,,,,,
CDKN2AIPNLP2,,,,,
SPICP3,,,,,
DPYSL5,,dpysl5b,DPYSL5,DPYSL5,DPYSL5
DPYSL5,,dpysl5a,DPYSL5,DPYSL5,DPYSL5
DPYSL5,,dpysl5a,DPYSL5,DPYSL5,DPYSL5
MIR497HG,,,,,
CBARP-DT,,,,,
KCNAB1,KCNAB1,,KCNAB1,KCNAB1,KCNAB1
KCNAB1,KCNAB1,,KCNAB1,KCNAB1,KCNAB1
KCNAB1,KCNAB1,kcnab1a,KCNAB1,KCNAB1,KCNAB1
KCNAB1,KCNAB1,kcnab1a,KCNAB1,KCNAB1,KCNAB1
,,,,,
,,,,,
,,,,,
ZNF702P,,,,,
TRMT112,,trmt112,TRMT112,,TRMT112
TRMT112,,trmt112,TRMT112,,TRMT112
TRMT112,,trmt112,TRMT112,,TRMT112
TRMT112,,trmt112,TRMT112,,TRMT112
KRT17P3,,,,,
ANO1-AS1,,,,,
LINC00534,,,,,
,,,,,
ARHGAP27P1-BPTFP1-KPNA2P3,,,,,
PPFIA1,PPFIA1,ppfia1,PPFIA1,PPFIA1,PPFIA1
PPFIA1,PPFIA1,ppfia1,PPFIA1,PPFIA1,PPFIA1
CGREF1,,,CGREF1,,CGREF1
BPTFP1,,,,,
,,,,,
,,,,,
,,,,,
RPL36AP48,,,,,
RNA5SP273,,,,,
HELZ-AS1,,,,,
,,,,,
TMEM64,TMEM64,tmem64,TMEM64,,TMEM64
TMEM64,TMEM64,tmem64,TMEM64,,TMEM64
,,,,,
,,,,,
,,,,,
,,,,,
TDRD15,TDRD15,tdrd15,TDRD15,,TDRD15
TDRD15,TDRD15,tdrd15,TDRD15,,TDRD15
TDRD15,TDRD15,tdrd15,TDRD15,,TDRD15
TDRD15,TDRD15,tdrd15,TDRD15,,TDRD15
,,,,,
LINC01224,,,,,
APOB,APOB,apoba,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,apobb.1,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,apobb.1,APOB,,APOB
APOB,APOB,apoba,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,apobb.1,APOB,,APOB
APOB,APOB,,APOB,,APOB
APOB,APOB,apobb.1,APOB,,APOB
,,,,,
,,,,,
CDRT15P2,,,,,
,,,,,
NECAB1,NECAB1,necab1,NECAB1,,NECAB1
NECAB1,NECAB1,necab1,NECAB1,,NECAB1
IL6STP1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
APPBP2-DT,,,,,
LINC01999,,,,,
,,,,,
RN7SKP231,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DEFB131D,,,,,
,,,,,
DEFB130A,,,,,
,,,,,
RPS3AP34,,,,,
SCGB1B2P,,,,,
,,,,,
,,,,,
RPS3AP35,,,,,
,,,,,
,,,,,
,,,,,
VPS51P19,,,,,
,,,,,
OR7E8P,,,,,
OR7E10P,,,,,
KRT16P3,,,,,
MIR5692A2,,,,,
LONRF1,LONRF1,lonrf1,,,LONRF1
LONRF1,LONRF1,lonrf1,,,LONRF1
,,,,,
,,,,,
,,,,,
,,,,,
EAF1-AS1,,,,,
,,,,,
RMDN2,RMDN2,,RMDN2,RMDN2,
RMDN2,RMDN2,,RMDN2,RMDN2,
RMDN2,RMDN2,,RMDN2,RMDN2,
RMDN2,RMDN2,,RMDN2,RMDN2,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BTD,BTD,btd,BTD,BTD,BTD
CCDC144CP,,,,,
,,,,,
LINC01535,,,,,
,,,,,
,,,,,
CDRT15L2,,,,,
ZSWIM5P2,,,,,
MEIS3P2,,,,,
,,,,,
LINC02088,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ARL16,,,ARL16,ARL16,ARL16
RMDN2-AS1,,,,,
ZNF888-AS1,,,,,
RNU6-951P,,,,,
,,,,,
,,,,,
GAPDHP25,,,,,
ZNF321P,,,,,
,,,,,
,,,,,
ATL2,ATL2,atl2,ATL2,ATL2,ATL2
ATL2,ATL2,atl2,ATL2,ATL2,ATL2
ATL2,ATL2,,ATL2,ATL2,ATL2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ATP5PBP5,,,,,
,,,,,
BSX,BSX,,BSX,BSX,BSX
,,,,,
SLC26A11,SLC26A11,slc26a11,SLC26A11,SLC26A11,SLC26A11
SLC26A11,SLC26A11,slc26a11,SLC26A11,SLC26A11,SLC26A11
SAE1P1,,,,,
RPL34P23,,,,,
RPS26P43,,,,,
MIR3926-1,,,,,
MIR3926-2,,,,,
RPL31P47,,,,,
ANKRD28,ANKRD28,ankrd28b,ANKRD28,ANKRD28,ANKRD28
ANKRD28,ANKRD28,,ANKRD28,ANKRD28,ANKRD28
ANKRD28,ANKRD28,,ANKRD28,ANKRD28,ANKRD28
ANKRD28,ANKRD28,ankrd28b,ANKRD28,ANKRD28,ANKRD28
MAF1,MAF1,maf1b,MAF1,MAF1,MAF1
MAF1,MAF1,maf1b,MAF1,MAF1,MAF1
IGFL2-AS1,,,,,
HSPA8,HSPA8,hspa8b,HSPA8,,
HSPA8,HSPA8,hspa8,HSPA8,,
HSPA8,HSPA8,hspa8,HSPA8,,
HSPA8,HSPA8,hspa8b,HSPA8,,
HAUS5-DT,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LINC01872,,,,,
,,,,,
SIGLEC17P,,,,,
,,,,,
,,,,,
,,,,,
TCIM,TCIM,tcima,TCIM,TCIM,
TCIM,TCIM,tcima,TCIM,TCIM,
TCIM,TCIM,tcimb,TCIM,TCIM,
TCIM,TCIM,tcimb,TCIM,TCIM,
FAM90A3,,,,,
FAM90A15,,,,,
,,,,,
FAM90A13,,,,,
FAM90A5,,,,,
FAM90A11,,,,,
,,,,,
FAM90A12,,,,,
FAM90A20,,,,,
DPY19L3-DT,,,,,
TOP1MT,TOP1MT,,TOP1MT,,TOP1MT
,,,,,
ALKAL2,ALKAL2,ALKAL2,ALKAL2,,
ALKAL2,ALKAL2,,ALKAL2,,
,,,,,
,,,,,
,,,,,
NCBP3,NCBP3,ncbp3,NCBP3,NCBP3,NCBP3
NCBP3,NCBP3,ncbp3,NCBP3,NCBP3,NCBP3
RACK1P2,,,,,
VIT,VIT,,VIT,VIT,VIT
VIT,VIT,,VIT,VIT,VIT
,,,,,
CAMKK1,CAMKK1,camkk1b,CAMKK1,CAMKK1,CAMKK1
CAMKK1,CAMKK1,camkk1a,CAMKK1,CAMKK1,CAMKK1
CAMKK1,CAMKK1,camkk1a,CAMKK1,CAMKK1,CAMKK1
CAMKK1,CAMKK1,camkk1b,CAMKK1,CAMKK1,CAMKK1
MIR563,,,,,
CBX3P10,,,,,
RNU6ATAC4P,,,,,
,,,,,
PRADC1P1,,,,,
EPM2AIP1,,,,,
EPM2AIP1,,,,,
EPM2AIP1,,,,,
,,,,,
MYREM,,,,,
MLH1,MLH1,mlh1,MLH1,MLH1,MLH1
MLH1,MLH1,mlh1,MLH1,MLH1,MLH1
STRN,STRN,strn,STRN,STRN,STRN
STRN,STRN,strn,STRN,STRN,STRN
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
P2RX1,P2RX1,p2rx1,P2RX1,P2RX1,P2RX1
P2RX1,P2RX1,p2rx1,P2RX1,P2RX1,P2RX1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SNORD14E,SNORD14,,SNORD14,SNORD14,
SNORD14E,SNORD14,,SNORD14,SNORD14,
,,,,,
SNORD14D,SNORD14,,SNORD14,,
